title
"Job Size: Min (Core Count): by PI"
parameters

start,end
"Hopkins, Philip F - Caltech",16
"Houk, Kendall N - UCLA",16
"Howat, Ian  - Ohio State U",16
"Howes, Gregory G - U Iowa",16
"Howison, Mark - Brown U",16
"Huang, Bohua - George Mason U",16
"Hummels, Cameron - U Arizona",16
"Huynh, Mioy T - UIUC",16
"Höhna, Sebastian  - UC Berkeley",16
"Ichiye, Toshiko - Georgetown U",16
"Ilich, Peter - St. John's U",16
"Im, Wonpil - U Kansas",16
"Indireshkumar, Keshavamurthy - Harvard U",16
"Indiviglio, Frank M - NOAA",16
"Ismail-Beigi, Sohrab - Yale U",16
"Ivanov, Ivaylo - Georgia State U",16
"Jadaun, Priya  - Cornell U",16
"Jakowski, Jacek - U Tennessee",16
"James, Douglas Leonard - Cornell U",16
"Jawaheer, Damini  - Children's Hospital Oakland",16
"Jeffries-EL, Malka - Iowa State U",16
"Jensen, Lasse - Penn State U",16
"Jewett, Brian F - UIUC",16
"Jha, Shantenu - Rutgers U",16
"Jin, Guangxu  - Wake Forest Sch of Med",16
"Jin, Jian-Ming - UIUC",16
"Johnson, Margaret Ellen - Johns Hopkins U",16
"Jones, Matthew D. - SUNY Buffalo",16
"Jordan, Thomas H. - USC",16
"Kaiser, Hartmut - Louisiana State U",16
"Kammel, Peter - U Washington",16
"Kandemir, Mahmut Taylan - Penn State U",16
"Kaplan, Michael Samuel Cruz - USC",16
"Karanicolas, John - U Kansas",16
"Karna, Tuomas Petteri - Oregon Health & Sci U",16
"Kaxiras, Efthimios - Harvard U",16
"Keaveny, Tony M. - UC Berkeley",16
"Kellogg, Louise H - UC Davis",16
"Kennedy, Graeme - Georgia Tech",16
"Kettimuthu, Rajkumar - ANL",16
"Keutzer, Kurt  - UC Berkeley",16
"Khaldi, Dounia - U Houston",16
"Kiefer, Boris - NM State U",16
"Kim, John - UCLA",16
"Kingsford, Carl  - CMU",16
"Kirschner, Denise - U Michigan",16
"Klauda, Jeffery B. - U Maryland",16
"Klein, Richard I. - UC Berkeley",16
"Klos, Jacek - U Maryland",16
"Koenig, Peter - Procter & Gamble",16
"Kolpak, Alexie - MIT",16
"Kozlowski, Marisa - U Pennsylvania",16
"Kritsuk, Alexei - UC San Diego",16
"Kubis, Tillmann - Purdue U",16
"Kumashiro, Kristin K - U Hawaii, Manoa",16
"Kurapov, Alexander - Oregon State U",16
"Lake, Roger K - UC Riverside",16
"Lambrecht, Daniel S - U Pittsburgh",16
"Landau, David P - U Georgia",16
"Landis, Michael  - UC Berkeley",16
"Lane, Rob - Columbia U",16
"Larson, Ronald G. - U Michigan",16
"Latour Jr., Robert A. - Clemson U",16
"Laurent, Louise - UC San Diego",16
"Laursen, Siris Odin - U Tennessee",16
"Leszczynski, Jerzy - Jackson State U",16
"Levy, Ronald M - Rutgers U",16
"Li, Fuhai - Methodist Hospital System",16
"Li, Jianing - U Vermont",16
"Liang, Zhi - RPI",16
"Lieuwen, Timothy Charles - Georgia Tech",16
"Lilly, Taylor Clark - CU Colorado Springs",16
"Lin, Ching-long - U Iowa",16
"Lin, Enqiang - Rutgers U",16
"Lin, Hai - CU Denver",16
"Lin, Xi - Boston U",16
"Liu, Don - Louisiana Tech",16
"Liu, Keh-Fei - U Kentucky",16
"Liu, Lijun - UIUC",16
"Liu, Xiaofeng - Penn State U",16
"Liu, Zi-Kui - Penn State U",16
"Llebot, Clara - Oregon Health & Sci U",16
"Llovet, Pol - Montana State U",16
"Londergan, Casey H - Haverford College",16
"Louie, Janis  - U Utah",16
"Lousto, Carlos - RIT",16
"Lu, Chang-Tsan  - U Mass, Amherst",16
"Luo, Haoxiang - Vanderbilt U",16
"Luo, Tengfei - U Notre Dame",16
"Luo, Yun - U Chicago",16
"Luthey-Schulten, Zaida - UIUC",16
"Lyman, Edward - U Delaware",16
"Ma, Jianpeng - Baylor College of Med",16
"Ma, Ping - U Georgia",16
"MacKerell, Jr., Alexander D. - U Maryland, Baltimore Co",16
"Macdonald, Janet  - Vanderbilt U",16
"Madrid, Marcela - PSC",16
"Maidment, David Robert - UT Austin",16
"Majumdar, Amitava - UC San Diego",16
"Makhatadze, George I - RPI",16
"Maki, Kevin - U Michigan",16
"Maliar, Serguei - Stanford U",16
"Manz, Thomas A. - NM State U",16
"Marcus, Philip Stephen - UC Berkeley",16
"Marinacci, Federico - MIT",16
"Marsden, Alison Lesley - UC San Diego",16
"Martin, Tye - U New Mexico",16
"Martins, Joaquim - U Michigan",16
"Massey, Steven Edward - UPR Rio Piedras",16
"Masunov, Artem - U Central Florida",16
"Matsika, Spiridoula - Temple U",16
"Matyushov, Dmitry V - Arizona State U",16
"May, Eric Robert - U Connecticut",16
"May, Michael Ryan - UC Davis",16
"McCammon, James Andrew - UC San Diego",16
"McCullagh, Martin - Colorado State U",16
"McDevitt, Brian  - Boise State U",16
"McDowell, David L. - Georgia Tech",16
"McGovern, Amy - U Oklahoma",16
"McKay, John  - Colorado State U",16
"McWilliams, James C. - UCLA",16
"Mehringer, Susan - Cornell U",16
"Mellor-Crummey, John Michael - Rice U",16
"Mendenhall, Ruby - UIUC",16
"Mendes, Celso Luiz - UIUC",16
"Meneses, Esteban - U Pittsburgh",16
"Meng, Ying Shirley - UC San Diego",16
"Metcalfe, Travis - Space Sci Inst",16
"Miao, Maosheng - UC Santa Barbara",16
"Miller, Michael I - Johns Hopkins U",16
"Milletti, Maria C. - Eastern Michigan U",16
"Milner, Scott Thomas - Penn State U",16
"Minton, Timothy K - Montana State U",16
"Mitas, Lubos - NC State U",16
"Mittal, Jeetain - Lehigh U",16
"Mittal, Rajat - Johns Hopkins U",16
"Mochena, Mogus D. - Florida A&M U",16
"Moehlis, Jeff - UC Santa Barbara",16
"Mofrad, Mohammad R. K. - UC Berkeley",16
"Mohamed, Sayeed - Arizona State U",16
"Mon, Kin K - U Georgia",16
"Mondal, Jagannath - Columbia U",16
"Monismith, David Richard - NW Missouri State U",16
"Moore, Richard - UC San Diego",16
"Moore, Shirley Victoria - UT El Paso",16
"Morgan, Dane - U Wisconsin-Madison",16
"Morse, David - U Minn",16
"Musgrave, Charles B. - CU Boulder",16
"Nachman, Michael W - UC Berkeley",16
"Nangia, Shikha - Syracuse U",16
"Navarro, John-Paul - ANL",16
"Neilson, James Richmond - Colorado State U",16
